,Unnamed: 0,Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa.1,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,latitudes,longitudes
0,0,Donato's taco shop,California ,1/18/2016,Sorrento Valley,6780 Miramar Rd,http://donatostacoshop.net/,3.5,4.2,,6.49,3.0,,,,,,3.0,5.0,3.0,3.5,4.0,4.0,4.0,4.0,4.0,3.8,,Scott,good fries: 4/5,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8791066,-117.168608
1,1,Oscar's Mexican food,California ,1/24/2016,Pacific Beach,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,,5.45,3.5,,,,,,2.0,3.5,2.5,2.5,2.0,4.0,3.5,2.5,5.0,3.0,,Scott,Fries: 3/5; too little meat,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.808168,-117.2608483
2,2,Oscar's Mexican food,Carnitas,1/24/2016,Pacific Beach,,,,,,4.85,1.5,,,,,,3.0,2.0,2.5,3.0,4.5,4.0,3.0,3.0,5.0,3.0,,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.808168,-117.2608483
3,3,Oscar's Mexican food,Carne asada,1/24/2016,Pacific Beach,,,,,,5.25,2.0,,,,,,3.0,2.0,3.5,3.0,4.0,5.0,4.0,4.0,5.0,3.75,,Ricardo,Go to average burrito place like Rigoberto's in la jolla; Terrible tamales,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.808168,-117.2608483
4,4,Pollos Maria,California,1/27/2016,,3055 Harding St,http://pollosmaria.com/,4.0,3.8,x,6.59,4.0,,,,,,4.0,5.0,4.0,3.5,4.5,5.0,2.5,4.5,4.0,4.2,,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.161209,-117.344305
5,5,Pollos Maria,combo chicken,1/28/2016,,,,,,,6.99,4.0,,,,,,3.0,4.0,5.0,3.5,2.5,2.5,2.5,4.0,1.0,3.2,,Emily,,,,,,x,x,,x,,x,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,33.161209,-117.344305
6,6,Nico's Taco Shop,California,1/30/2016,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,3.0,2.9,,7.19,1.5,,,,,,2.0,3.0,3.0,2.0,2.5,2.5,,2.0,3.0,2.6,,Scott,not fries. big potatoes,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9388172,-117.23184950000001
7,7,Nico's Taco Shop,Carnitas,1/30/2016,Carmel Valley,,,,,,6.99,4.0,,,,,,2.5,3.0,3.0,2.5,3.0,3.5,,2.5,3.0,3.0,,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9388172,-117.23184950000001
8,8,Los Primos Mexican Food,Monster California,2/1/2016,Point Loma,7770 Regents Rd,http://www.primosmex.com/,3.0,3.7,x,9.25,3.5,,,,,,2.0,4.5,4.5,3.5,1.5,3.0,3.5,4.0,2.0,3.9,,Scott,this tasted really bad leftover. not included in rating,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.72815070000001,-117.217707
9,9,JV's Mexican Food,Carne Asada,2/6/2016,Morena,1112 Morena Blvd,http://jvsmexfood.com/,4.0,4.1,,6.25,3.5,,,,,,2.5,1.5,1.5,3.0,4.5,3.0,1.5,2.0,4.5,2.0,,Scott,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.768622,-117.20033490000002
10,10,JV's Mexican Food,Surf & Turf,2/6/2016,Morena,,,,,,9.5,2.0,,,,,,2.5,2.5,2.75,2.5,2.5,2.0,0.5,3.0,3.5,2.5,,Emily,Huge. Shrimp is good. Meat is normal,,,x,,x,,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,32.768622,-117.20033490000002
11,11,Tony's Fresh Mexican Food,Chile verde pork,2/11/2016,Point Loma,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3.0,4.1,x,6.95,2.0,,,,,,3.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,,Marc,,,,,x,,,x,,x,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,32.7273917,-117.2272278
12,12,Tony's Fresh Mexican Food,California,2/11/2016,Point Loma,,,,,,6.25,3.5,,,,,,3.0,3.5,3.5,4.0,2.0,3.5,1.0,4.0,4.0,3.9,,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7273917,-117.2272278
13,13,Tony's Fresh Mexican Food,battered fish ,2/11/2016,Point Loma,,,,,,6.99,3.0,,,,,,3.0,1.0,1.5,2.5,4.0,4.0,3.0,4.5,5.0,2.0,,Nicole,,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,,32.7273917,-117.2272278
14,14,Tony's Fresh Mexican Food,California,2/11/2016,Point Loma,,,,,,6.25,3.0,,,,,,4.0,,2.0,2.0,4.0,4.0,,3.0,4.0,2.75,,Cris,"to-go, no guac or sour cream, fries are a small and underdone",,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7273917,-117.2272278
15,15,Taco Stand,California,2/12/2016,Core-Columbia,621 Pearl St,http://letstaco.com/,4.5,4.4,,7.49,4.0,,,,,,3.0,2.5,4.0,4.0,3.5,2.5,3.5,5.0,4.5,4.2,,Emily,Horchata is very sweet,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.717622999999996,-117.15863190000002
16,16,Taco Stand,Surf and turf ,2/12/2016,Core-Columbia,,,,,,8.49,2.5,,,,,,4.0,4.0,4.5,4.0,5.0,4.5,3.5,4.0,2.0,4.1,,Scott,,,,x,x,x,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,32.717622999999996,-117.15863190000002
17,17,Graciela's Taco Shop,Adobada ,2/14/2016,,5047 Central Ave,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,4.0,4.5,,5.99,3.0,,,,,,4.0,4.0,3.0,3.5,4.0,4.5,4.0,4.0,4.5,4.0,,Scott,Salsa verde spicy,,,,,,,,,x,,,,,x,,,,,,,x,x,x,,,,,,,,,,,,,,,32.6976919,-117.0201639
18,18,Graciela's Taco Shop,Barbacoa,2/14/2016,,,,,,,5.99,2.0,,,,,,3.5,4.0,3.5,,4.0,,4.0,4.0,1.5,4.0,,Emily,,,,x,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,32.6976919,-117.0201639
19,19,Rigoberto's Taco Shop La Jolla,California,2/17/2016,La Jolla,7345 La Jolla Blvd,https://www.yelp.com/biz/rigobertos-la-jolla-2,2.5,4.0,,6.4,4.0,,,,,,3.0,4.0,2.75,3.0,4.0,2.0,2.0,,5.0,3.0,,Leo,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8372448,-117.27807240000001
20,20,Rigoberto's Taco Shop La Jolla,California,2/17/2016,La Jolla,,,,,,6.4,2.5,,,,,,3.5,3.0,3.0,3.0,4.0,4.0,1.5,,4.5,3.5,,Scott,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8372448,-117.27807240000001
21,21,Lolita's taco shop,2 in 1,2/24/2016,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,4.0,4.4,,8.75,3.5,,,,,,1.5,2.0,3.0,3.5,4.0,1.0,3.5,4.5,4.0,4.0,,Scott,Rolled tacos need more meat,,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,32.832367,-117.16045849999999
22,22,Lolita's taco shop,Adobado,2/24/2016,Kearny Mesa,,,,,,5.5,2.5,,,,,,1.5,2.5,3.5,3.0,4.0,1.5,2.5,3.5,4.5,3.5,,Emily,Adobado reminds me of Indian food because of some mystery spice,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.832367,-117.16045849999999
23,23,Taco Stand,California,2/28/2016,Core-Columbia,,,,,,7.49,2.5,,,,,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.6,,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.717622999999996,-117.15863190000002
24,24,Taco Stand,California,2/28/2016,Core-Columbia,,,,,,7.49,2.5,,,,,,3.0,2.0,4.5,4.0,4.0,3.5,3.0,4.5,4.5,4.5,,Emily,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.717622999999996,-117.15863190000002
25,25,Lola's 7 Up Market & Deli,Shredded beef,2/29/2016,,3292 Roosevelt St,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,4.5,4.9,,6.0,3.5,,,,,,2.5,2.5,3.0,4.0,4.0,4.0,3.0,3.5,1.5,3.8,,Emily,Food cooks fast but checking out is painfully slow,,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,33.1571139,-117.3449128
26,26,Lola's 7 Up Market & Deli,Carne asada,2/29/2016,,,,,,,7.0,3.5,,,,,,2.5,3.0,3.0,4.0,2.0,2.0,3.0,3.5,3.5,3.0,,Scott,Beans are surprisingly good,,,x,x,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,33.1571139,-117.3449128
27,27,Colima's Mexican Food,Hawaiian,3/3/2016,North Park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,4.0,4.2,,6.29,3.5,,,,,,3.5,5.0,4.0,4.0,3.5,4.5,3.5,3.5,4.0,4.0,,Scott,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,32.748629,-117.13987
28,28,Colima's Mexican Food,Bandido,3/3/2016,North Park,,,,,,6.49,4.5,,,,,,3.0,5.0,4.0,4.0,5.0,4.0,2.5,4.5,4.0,4.0,,Sage,,,,x,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,,,,,,32.748629,-117.13987
29,29,Colima's Mexican Food,Bandido,3/3/2016,North Park,,,,,,6.49,4.5,,,,,,3.0,4.5,3.5,3.5,3.5,3.0,3.0,3.0,4.0,3.0,,Eli,Promising start but finished poorly,,,x,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,,,,,,32.748629,-117.13987
30,30,Rigoberto's Taco Shop,Carne asada,3/8/2016,Miramar,7094 Miramar Rd,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4.0,4.4,,6.6,3.5,,,,,,4.0,2.0,4.0,3.5,4.5,4.0,3.5,4.0,1.0,4.25,,Ricardo,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.879813899999995,-117.16173059999998
31,31,Rigoberto's Taco Shop,Campeon,3/8/2016,Miramar,,,,,,7.65,3.5,,,,,,3.0,1.5,3.0,3.0,2.5,3.0,3.5,2.5,4.0,3.4,,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.879813899999995,-117.16173059999998
32,32,Raul's Mexican food,Chile verde pork,3/11/2016,,490 S Coast Hwy 101,https://www.yelp.com/biz/rauls-shack-encinitas,4.0,4.2,,5.0,3.5,,,,,,2.0,,2.5,2.0,2.0,2.0,2.0,2.5,,2.0,,Emily,,,,,,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,33.0461712,-117.29417849999999
33,33,Raul's Mexican food,carne asada,3/11/2016,,,,,,,5.0,1.0,,,,,,2.0,,1.0,1.0,0.5,1.0,1.5,1.0,4.0,1.0,,Scott,burrito was mostly tortilla,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0461712,-117.29417849999999
34,34,El Zarape,California,3/14/2016,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4.0,4.4,x,6.25,0.5,,,,,,3.0,5.0,4.0,2.75,4.0,1.6,3.5,3.4,5.0,3.33333,,Kelsey,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.761797200000004,-117.14638059999999
35,35,El Zarape,California chicken,3/14/2016,University Heights,,,,,,6.25,3.0,,,,,,3.5,5.0,2.5,2.5,4.0,2.7,3.5,3.0,5.0,2.5,,Sage,,,,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.761797200000004,-117.14638059999999
36,36,El Zarape,Azteca,3/14/2016,University Heights,,,,,,6.25,3.75,,,,,,3.0,5.0,5.0,4.5,4.0,4.0,1.5,3.0,5.0,3.0,,Jake,,,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,32.761797200000004,-117.14638059999999
37,37,El Zarape,Lobster,3/14/2016,University Heights,,,,,,9.5,3.0,,,,,,3.0,3.0,4.0,3.0,3.5,4.5,3.5,3.0,3.5,3.2,,Scott,quite small,,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,x,,,,,,,,,32.761797200000004,-117.14638059999999
38,38,El Indio,California,3/17/2016,MIddletown,3695 India St,http://elindiosandiego.com/,3.5,3.9,,7.84,4.0,,,,,,4.0,4.0,3.5,4.0,4.5,4.0,3.5,3.5,4.5,4.0,,Scott,,,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.742348,-117.180144
39,39,Taco stand,Carne asada,3/18/2016,Core-Columbia,,,,,,7.89,1.0,,,,,,3.0,3.5,4.5,4.0,5.0,5.0,4.5,3.5,5.0,4.2,,Scott,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.717622999999996,-117.15863190000002
40,40,Taco stand,Al pastor,3/18/2016,Core-Columbia,,,,,,6.99,4.0,,,,,,4.0,3.0,3.5,3.0,4.0,5.0,3.0,3.5,5.0,3.5,,Emily,Kind of dry ,,,,,,,,,x,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,32.717622999999996,-117.15863190000002
41,41,"Qdoba Mexican Grill, Seatac Airport",Custom,3/19/2016,Point Loma,Airport,,,,,9.5,5.0,,,,,,3.0,3.0,3.5,3.0,4.0,1.0,3.0,2.5,5.0,3.0,,Sage,,x,,,x,x,x,,,x,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,32.732337699999995,-117.2040544
42,42,Cancun Mexican & Seafood,California,3/20/2016,,1766 N Coast Hwy,http://cancunmexicanandseafood.com/,4.5,4.1,x,6.99,4.0,,,,,,4.0,4.5,4.0,3.5,4.0,2.5,2.0,4.0,4.0,4.2,,Scott,A bit small,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2685014,-95.552057
43,43,Cancun Mexican & Seafood,Machaca,3/20/2016,,,,,,,5.99,3.0,,,,,,4.0,3.5,3.5,4.0,3.5,3.5,2.0,3.5,0.5,3.9,,Emily,So hot! Egg is surprisingly good,,,x,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,x,,,,,,,37.2685014,-95.552057
44,44,Vallarta express,Quesaburro,3/21/2016,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4.0,,6.95,3.5,,,,,,3.0,4.0,3.5,4.0,4.0,4.0,3.5,4.5,4.5,4.1,,Scott,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.821373699999995,-117.1826061
45,45,Vallarta express,Philly ,3/21/2016,Clairemont,,,,,,6.95,4.0,,,,,,3.0,4.5,4.0,3.0,3.0,2.0,4.0,2.0,4.5,3.0,,Torben,Guac chips have lots of cheese,,,x,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,x,x,,,,,32.821373699999995,-117.1826061
46,46,Vallarta express,Carne asada,3/21/2016,Clairemont,,,,,,6.5,3.5,,,,,,3.75,5.0,3.0,3.0,4.5,4.5,3.5,3.0,4.5,3.25,,Ricardo,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.821373699999995,-117.1826061
47,47,Vallarta express,Quesa,3/21/2016,Clairemont,,,,,,6.95,4.5,,,,,,2.0,5.0,3.5,4.0,2.5,5.0,3.5,2.5,4.0,3.75,,Alex,Heart-stopping amount of cheese. Second tortilla of cheese,,,x,x,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.821373699999995,-117.1826061
48,48,Vallarta express,Surf and turf,3/21/2016,Clairemont,,,,,,7.65,3.0,,,,,,2.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.5,,Richard,Hot carrots,,,x,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,32.821373699999995,-117.1826061
49,49,Vallarta express,Mahi,3/21/2016,Clairemont,,,,,,7.3,3.0,,,,,,3.0,4.5,3.5,3.0,3.0,2.0,3.5,2.5,4.5,3.5,,Tom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.821373699999995,-117.1826061
50,50,Mikes Taco Club,California,3/23/2016,Point Loma,5060 Newport Ave,http://www.mikestacoclub.com/menu/,4.5,4.9,,8.59,2.5,,,,,,4.0,4.5,3.5,5.0,2.5,2.0,4.0,4.5,4.0,4.3,,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.747624699999996,-117.252021
51,51,Mikes Taco Club,California,3/23/2016,Point Loma,,,,,,8.59,3.5,,,,,,4.5,4.5,4.0,4.5,4.0,4.0,4.0,4.5,5.0,4.5,,Brad,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.747624699999996,-117.252021
52,52,La Perla Cocina,Addiction,3/30/2016,Pacific Beach,745 Emerald St,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,,7.99,3.5,,,,,,4.0,4.0,2.0,3.0,1.5,3.0,2.5,1.0,3.0,2.5,,Scott,Bland,,,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,32.7982445,-117.25638810000001
53,53,La Perla Cocina,Oaxacalifornia,3/30/2016,Pacific Beach,,,,,,9.99,3.0,,,,,,4.0,4.5,3.5,4.0,3.0,2.0,2.5,3.5,4.0,4.0,,Emily,Fries are good,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7982445,-117.25638810000001
54,54,Porkyland ,Deborah's special,4/2/2016,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4.0,4.4,x,8.25,3.5,,,,,,4.0,4.5,3.5,2.5,4.5,4.5,4.0,3.5,5.0,4.0,,Scott,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,32.9203909,-117.2142128
55,55,Porkyland ,Chicken nopalito,4/2/2016,Carmel Valley,,,,,,7.95,2.5,,,,,,2.5,2.5,4.0,3.5,3.0,2.5,3.0,3.0,5.0,3.3,,Emily,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,32.9203909,-117.2142128
56,56,Porkyland ,Chicken nopalito,4/2/2016,Carmel Valley,,,,,,7.95,2.0,,,,,,4.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,,Tara,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,32.9203909,-117.2142128
57,57,Porkyland ,California,4/2/2016,Carmel Valley,,,,,,8.75,3.0,,,,,,4.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,,Andy,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9203909,-117.2142128
58,58,Rigoberto's Taco Shop,California ,4/3/2016,Miramar,,,,,,6.6,3.0,,,,,,3.0,4.5,4.0,4.5,4.0,4.5,4.5,5.0,4.5,4.5,,Scott,,,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,32.879813899999995,-117.16173059999998
59,59,Rigoberto's Taco Shop,Adobada,4/3/2016,Miramar,,,,,,6.6,3.0,,,,,,4.0,5.0,5.0,5.0,5.0,4.0,,4.5,5.0,4.5,,Tara,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.879813899999995,-117.16173059999998
60,60,Rigoberto's Taco Shop,California,4/7/2016,Miramar,,,,,,6.6,3.0,,,,,,3.0,5.0,3.5,3.0,4.5,2.5,3.0,4.0,4.0,3.6,,Scott,Too much enchilada sauce this time,,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,32.879813899999995,-117.16173059999998
61,61,Rigoberto's Taco Shop,Surf & Turf,4/7/2016,Miramar,,,,,,7.45,3.5,,,,,,3.0,5.0,3.5,2.5,3.0,2.5,3.75,3.0,4.0,3.0,,Bankole,Would have enjoyed it more if wasn't rating; shrimp better than meat. Quality of the shrimp really improves the burrito. Well cooked and fresh. Shrimp could have had more flavor,,,x,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,32.879813899999995,-117.16173059999998
62,62,Rudy's Taco Shop,Chicken,4/9/2016,,524 Stevens Ave,http://www.rudystacoshop.com/,4.0,4.3,,6.6,3.5,,,,,,3.5,3.0,4.0,4.5,3.0,1.0,3.0,4.0,0.5,2.8,No,Scott,"Salsa Fresca is good, way too small",,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9903606,-117.2607928
63,63,Rudy's Taco Shop,Carnitas,4/9/2016,,,,,,,6.6,3.0,,,,,,3.0,2.5,3.0,4.0,2.0,1.0,3.0,3.0,5.0,3.0,No,Emily,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9903606,-117.2607928
64,64,Taco stand,Carne asada,4/14/2016,Core-Columbia,,,,,,7.89,3.5,,,,,,3.0,2.0,4.5,4.0,4.0,1.5,4.5,4.5,4.5,4.4,Yes,Scott,Too small ,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.717622999999996,-117.15863190000002
65,65,Taco stand,Carne asada,4/14/2016,Core-Columbia,,,,,,7.89,2.0,,,,,,3.0,2.5,4.5,3.5,4.5,3.0,4.0,3.5,5.0,3.5,Yes,Richard,A little small. No rice and beans or cheese or sour cream,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.717622999999996,-117.15863190000002
66,66,California Burritos,California Everything,4/15/2016,Birdland,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,x,6.25,4.0,,,,,,4.5,4.5,2.5,3.5,3.5,3.5,3.0,4.0,5.0,4.1,Yes,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.793455,-117.15607209999999
67,67,California Burritos,California Everything,4/15/2016,Birdland,,,,,,6.25,3.5,,,,,,4.0,4.0,4.0,2.5,3.0,3.5,4.0,4.0,5.0,4.0,No,Brent,Brent doesn't like fries in his burrito,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.793455,-117.15607209999999
68,68,California Burritos,California Everything,4/15/2016,Birdland,,,,,,6.25,4.0,,,,,,4.0,4.5,4.5,5.0,5.0,5.0,4.5,5.0,5.0,4.6,Yes,Luis,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.793455,-117.15607209999999
69,69,California Burritos,Chile relleno and carnitas,4/15/2016,Birdland,,,,,,6.5,5.0,,,,,,4.5,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.7,Yes,Karl,,x,,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,32.793455,-117.15607209999999
70,70,California Burritos,California (only cheese),4/15/2016,Birdland,,,,,,6.25,2.0,,,,,,5.0,5.0,5.0,4.0,4.0,2.0,,5.0,5.0,5.0,Yes,Kalen,,x,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.793455,-117.15607209999999
71,71,Vallarta express,Fish,4/15/2016,Clairemont,,,,,,6.5,2.5,,,,,,3.0,,3.5,4.0,4.0,3.0,,4.0,1.5,3.5,,Erin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.821373699999995,-117.1826061
72,72,Vallarta express,California,4/15/2016,Clairemont,,,,,,6.65,3.5,,,,,,3.5,,3.5,3.5,4.5,3.5,3.5,4.0,4.0,4.0,,Ricardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.821373699999995,-117.1826061
73,73,Jorge's Mexicatessen,California ,4/24/2016,Cardiff,267 N El Camino Real,https://www.yelp.com/biz/jorges-mexicatessen-encinitas,4.0,4.5,,5.95,3.5,,,20.0,22.0,0.77,2.5,2.5,3.5,4.0,3.0,4.5,4.0,4.5,4.5,3.8,Yes,Scott,"Cheese should be melted, potatoes are very good",,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.035388399999995,-117.28381100000001
74,74,Jorge's Mexicatessen,Chimichanga beef,4/24/2016,Cardiff,,,,,,5.5,3.0,,,,,,2.0,4.0,3.0,3.0,3.0,4.0,3.5,3.5,,3.0,No,Emily,,,,X,X,X,X,,X,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,33.035388399999995,-117.28381100000001
